strains,CvMean,CvSTD,CbMean,CbSTD,Cv.vs.Cb,Cv.vs.Cb.STD,Cb.vs.Cv,Cb.vs.Cv.STD,Cv.vs.Cb.byMeans,Cv.vs.Cb.byMeansSTD,Cb.vs.Cv.byMeans,Cb.vs.Cv.byMeansSTD
101S,0.045,0,0.0275,0.00353553390593274,1.65,0.212132034355964,0.611111111111111,0.0785674201318386,1.63636363636364,0.210378877047237,0.611111111111111,0.0785674201318386
M1-2,0.0583333333333333,0.00763762615825973,0.0233333333333333,0.0104083299973307,2.76587301587302,0.911653991795055,0.397008547008547,0.161407829421752,2.5,1.1622242925195,0.4,0.18595588680312
,NA,NA,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2-8,0.0416666666666667,0.0125830573921179,0.0783333333333333,0.0453688586293873,0.851307189542484,0.857581659496102,2.22348484848485,1.7293772068048,0.531914893617021,0.347436899346807,1.88,1.22798097705135
M5,0.0625,0.0176776695296637,0.086,0.0197989898732233,0.770833333333333,0.383016173142713,1.48,0.735391052434009,0.726744186046512,0.265039153379025,1.376,0.501818772068164
M8,0.0566666666666667,0.0152752523165195,0.0416666666666667,0.033291640592397,1.95,1.40801278403287,0.748015873015873,0.534533531215726,1.36,1.14681499815794,0.735294117647059,0.620034060422763
M13,0.0226666666666667,0.0156950098226581,0.0106666666666667,0.00814452781524708,2.25,1.5612494995996,0.607142857142857,0.376273348316169,2.125,2.19036154911017,0.470588235294118,0.485062765200868
M32,0.196,0.101143462467922,0.089,0.0642650760522385,3.23333333333333,2.68121034029203,0.425,0.182002747232013,2.20224719101124,1.95454135062492,0.454081632653061,0.403007133441796
M34,0.1,0.0424264068711929,0.054,0.0197989898732233,2.13970588235294,1.57019299939954,0.63956043956044,0.469332413007335,1.85185185185185,1.03840968518751,0.54,0.302800264200677
YPS128,0.0105,0.00420317340430616,0.02025,0.0095,0.578333333333333,0.188826787176914,1.8625,0.557503529302896,0.518518518518518,0.31977515685069,1.92857142857143,1.18936780277629
YPS163,0.018,0.00282842712474619,0.02,0.00707106781186548,0.933333333333333,0.188561808316413,1.09375,0.220970869120796,0.9,0.348209706929603,1.11111111111111,0.429888527073584
SGU57,0.025,0.00866025403784439,0.00833333333333333,0.00577350269189626,3.44444444444444,0.962250448649376,0.309523809523809,0.10309826235529,3,2.32379000772445,0.333333333333333,0.258198889747161
BY4743,0.0475,0.0176776695296637,0.0625,0.0176776695296637,0.75,0.0707106781186547,1.33928571428571,0.126269068069026,0.76,0.355257652978792,1.31578947368421,0.615058263467438
ctt1,0.0065,0.00212132034355964,0.0065,0.000707106781186548,0.988095238095238,0.218866384652979,1.0375,0.229809703885628,1,0.344010458076891,1,0.344010458076891
