"","FileList","p_ttest","flag"
"1","101S.PeroxideEffectonLOH.Jan252011.csv",0.000683421444797134,"signicant"
"2","101S.PeroxideEffectonLOH.Jan272011.csv",0.00130481516280217,"signicant"
"3","BY4743,20120530,H2O2LOH.csv",0.000190050323284526,"signicant"
"4","BY4743,20120907,H2O2LOH.csv",0.000119397419562526,"signicant"
"5","ctt1,20121016,H2O2LOH.csv",0.0243782894696404,"signicant"
"6","ctt1,20121026,H2O2LOH.csv",0.0515238082345792,""
"7","M1-2,20110422.H2O2onLOH.csv",0.000832495861470789,"signicant"
"8","M1-2,20111207.modified.csv",0.0612823258788448,""
"9","M1-2,20120502,H2O2LOH.csv",3.36698194582834e-05,"signicant"
"10","M13,08242011.H2O2.LOH.csv",6.78885254767071e-05,"signicant"
"11","M13,Dec2,2011.modified.csv",0.0652788584067958,""
"12","M13,May18.2011.M13.H2O2.LOH.csv",0.00134378935093083,"signicant"
"13","M2-8,06062011.H2O2onLOH.csv",0.00319476510490011,"signicant"
"14","M2-8,08172011.H2O2.LOH.modified.csv",0.00254840360561046,"signicant"
"15","M2-8,Dec19 2011.csv",0.00211253616517442,"signicant"
"16","M32,08102011.H2O2onLOH.csv",0.000759888239757964,"signicant"
"17","M32,Jan10,2012,OneandHalfHour.modified.csv",0.0111595243296081,"signicant"
"18","M32,Jan10,2012,Three Hours.corrected.csv",0.000226060213003466,"signicant"
"19","M32,Jan4,2012.csv",0.000853300951576688,"signicant"
"20","M32,May25,2011.H202LOHcorrected.csv",0.000510802206789623,"signicant"
"21","M34,042011.H2O2onLOH.csv",0.000157570528305366,"signicant"
"22","M34.08232011.H2O2.LOH.csv",0.000112929720524007,"signicant"
"23","M5,08162011.H2O2.LOH.csv",0.0016798024593368,"signicant"
"24","M5,H202.022511.csv",0.00194358629436704,"signicant"
"25","M8,Dec15 2011.csv",0.000521868301448282,"signicant"
"26","M8,Feb8,2011.H2O2effectonLOHmodified.csv",0.00362627214823285,"signicant"
"27","M8,Mar302011.Effectof H2O2onLOH.csv",0.00174326526386439,"signicant"
"28","SGU57,Jan12,2012.modified.csv",NA,NA
"29","SGU57,Jan13,2012.modified.csv",NA,NA
"30","SGU57,Jan6,2012.csv",0.0208734682130855,"signicant"
"31","SOD2,20120914,H2O2LOH.csv",0.0147440815720999,"signicant"
"32","sod2,20120918,H2O2LOH.csv",0.058208301705026,""
"33","YPS128,042911,H2O2LOH.modified.csv",0.00432648003732448,"signicant"
"34","YPS128,20110825,H2O2LOH.csv",0.00185577676431998,"signicant"
"35","YPS128,DEC9,2011.csv",0.00439840218373309,"signicant"
"36","YPS128,H2O2LOH_Nov14,2011.modified.csv",NA,NA
"37","YPS163,20120503,YPS163-H2O2LOH.csv",0.000120421901052021,"signicant"
"38","YPS163,Apr082011.H2O2onLOH.modifed.csv",0.0148707735746302,"signicant"
"39","YPS163,Apr13,2011.H2O2.LOH.csv",2.73181194525916e-05,"signicant"
