"strains","CvManu","CvManuSTD","CvMean","CvSTD","CbManu","CbMean","CbSTD","bminH2O2","bmaxH2O2","Cv.vs.Cb","Cv.vs.Cb.STD","Cb.vs.Cv","Cb.vs.Cv.STD","Cb0.5.vs.Cv","Cb0.5.vs.Cv.STD","Cb0.5Mean","Cb.05STD","b0.5minH2O2","b0.5maxH2O2"
"101S",0.045,0,0.039893139,0.0041088631551866,0.0275,0.031854679,0.00262291219564857,0.00444231657794161,0.0347538259956817,1.45306374666667,0.0373997450412747,0.688201052633791,0.148780523888637,0.806162142477875,0.148780523888637,0.031854679,0.00262291219564857,0.00671697445128276,0.0222764814311687
"BY4743",0.0475,0.0176776695296637,0.041775471,0.0107815484207451,0.0625,0.0184430470578387,0.0119402716569497,0.0177412371471159,0.0481926876584613,0.670845496666667,0.0172389851966607,1.49065620171687,0.177802954416261,0.13733637388427,0.21987380883458,0.00455200164624562,0.00770463315966573,0.0105502606013193,0.0254697247596465
"ctt1",0.0065,0.00212132034355964,0.0066282125,0.000748128166883523,0.0065,0.011078838,0.00317755968374349,0.00875652846179544,0.107027851641087,1.0194970952381,0.00418997806779656,0.980875771663143,0.672340828747526,2.09461532652445,0.127579048055524,0.0138358327502837,0.000721419683499147,0.00778520935722249,0.0629442220537701
"M1-2",0.0583333333333333,0.00763762615825973,0.0466446913333333,0.0114359684514512,0.0233333333333333,0.0296914503333333,0.0128852287015171,0.00286900465112318,0.0418936685760063,2.16098061111111,0.681883558378086,0.462752879344822,0.14703402386029,0.724316466488608,0.0455782893012068,0.0334524286666667,0.00653462421223136,0.00437972407912903,0.0373662927053921
"M13",0.0226666666666667,0.0156950098226581,0.020644793,0.0130864282928886,0.0106666666666667,0.021839001,0.0164762223036041,0.00792502390571688,0.0703965306249696,2.18436061190476,1.61428342184213,0.457799868094124,0.649275513272077,2.47483941420955,1.92923770023393,0.0507534706666667,0.0629106356864071,0.0125364885768973,0.0440549964209784
"M2-8",0.0416666666666667,0.0125830573921179,0.0415032183333333,0.0166830556937281,0.0783333333333333,0.0783333333333333,0.0453688586293873,0.0107407898352533,0.0248449769636693,0.889700322712418,0.984492903374469,1.1239739656959,1.72146570053884,1.27657541104586,1.12591507637715,0.0461942706940737,0.0337595696864851,0.00805983462342687,0.0362401273788407
"M32",0.17,0.0955684745788763,0.15063925725,0.0564454457160979,0.07375,0.15623198925,0.0609862554929172,0.00715410118285092,0.0362204955859229,3.70399101166667,3.45975370303459,0.269979056874124,0.0628381797481089,0.943574466917021,0.205366362647215,0.137685312893798,0.048786084016141,0.012000419324122,0.0363260599851181
"M34",0.1,0.0424264068711929,0.094757063,0.0303835015751773,0.054,0.0616363415,0.0164562719657049,0.00544905728829048,0.0383190480460012,1.99178776544118,1.29294235875476,0.502061523496959,0.402952443913503,0.39522929321924,0.0493700478283065,0.0382007845,0.0166866105854628,0.00692209832225946,0.0473944399370802
"M5",0.0625,0.0176776695296637,0.0637924305,0.019784772077174,0.086,0.060901242,0.0156960140890969,0.00347144745599651,0.0582216436696234,0.789167815833333,0.411738345013162,1.2671576056913,0.0525666371455468,0.693682561282487,0.433198276225696,0.039966332,0.0139104195599632,0.00233658116170196,0.0384483352486856
"M8",0.0566666666666667,0.0152752523165195,0.0614590136666667,0.0204661480013046,0.0416666666666667,0.0502645676666667,0.00960588143538823,0.00371220921816983,0.0414647995257709,2.16368004833333,1.719221783039,0.46217554243766,0.215932132221434,0.755839370678848,0.397099519049113,0.041705566827869,0.0178559723585446,0.00845445503151312,0.0352341624578614
"SGU57",0.025,0.00866025403784439,0.0184248696666667,0.00983677966094007,0.00833333333333333,0.0442501543333333,0.021862024046623,0.00584950545688418,0.0438500773443706,2.3750142,0.577970151512584,0.421050114142475,1.92387319805335,NA,1.54599857356324,0.0431425825,0.00455063872333461,0.0035599776020891,0.0159410123515075
"sod2",3e-04,0,0.0001684245,9.94538616671067e-05,0.00025,0.0003954185,0.000276363493038607,0.0906624142028314,0.169425374018112,0.7603725,0.612881267059534,1.3151448796478,3.66642178816884,21.5483452296985,29.2892755902812,0.00217280348969655,0.00278996545102583,0.00340229055355548,0.0322845121970582
"YPS128",0.0105,0.00420317340430616,0.00829024775,0.00318174504630833,0.02025,0.0154987085,0.00874145849852508,0.0903281903224076,0.156698467257893,0.452872565,0.131589477034586,2.20812669453713,0.842452626173325,5.17907140894079,6.70317171918484,0.0459857510096115,0.0635771745423343,0.00826396398027578,0.037616282211575
"YPS163",0.017,0.00264575131106459,0.013885595,0.00117318612896846,0.0383333333333333,0.0222462216666667,0.0185323146630619,0.00535789981634731,0.0961336063660031,0.573886431111111,0.403463463912215,1.74250504244173,1.24340164841973,0.926503492786185,0.44962076682416,0.0131611336666667,0.00700679877662919,0.0110898948885589,0.0471775839896455
